ID,Año,Campeonato,Equipo,Ganados,Perdidos,Empatados,Puntos,Partidos Jugados,GF,GC,DIF,Logo
1005,1975,Nacional 1975,Bartolome Mitre (M),0,15,1,1,16,10,52,-42,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Club_Bartolom%C3%A9_Mitre.png/160px-Club_Bartolom%C3%A9_Mitre.png
1006,1975,Nacional 1975,Belgrano,7,6,3,24,16,26,23,3,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Escudo_del_Club_Atl%C3%A9tico_Belgrano.svg/120px-Escudo_del_Club_Atl%C3%A9tico_Belgrano.svg.png
1007,1975,Metropolitano 1975,Boca Juniors,22,10,6,72,38,80,40,40,https://logodetimes.com/times/club-atletico-boca-juniors/club-atletico-boca-juniors-256.png
1008,1975,Nacional 1975,Boca Juniors,8,8,0,24,16,39,31,8,https://logodetimes.com/times/club-atletico-boca-juniors/club-atletico-boca-juniors-256.png
1009,1975,Metropolitano 1975,Chacarita,11,17,10,43,38,47,72,-25,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Escudo_del_Club_Atl%C3%A9tico_Chacarita_Juniors.svg/160px-Escudo_del_Club_Atl%C3%A9tico_Chacarita_Juniors.svg.png
1010,1975,Nacional 1975,Chacarita,3,9,4,13,16,16,33,-17,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Escudo_del_Club_Atl%C3%A9tico_Chacarita_Juniors.svg/160px-Escudo_del_Club_Atl%C3%A9tico_Chacarita_Juniors.svg.png
1011,1975,Nacional 1975,Cipolletti,2,10,4,10,16,19,32,-13,https://upload.wikimedia.org/wikipedia/pt/thumb/f/f2/Club_Cipolletti.png/120px-Club_Cipolletti.png
1012,1975,Metropolitano 1975,Colon,16,7,15,63,38,60,48,12,https://logodetimes.com/times/colon/logo-colon-256.png
1013,1975,Nacional 1975,Colon,9,4,3,30,16,34,27,7,https://logodetimes.com/times/colon/logo-colon-256.png
1014,1975,Metropolitano 1975,Estudiantes (LP),18,9,11,65,38,68,51,17,https://logodetimes.com/times/estudiantes-de-la-plata/estudiantes-de-la-plata-256.png
1015,1975,Nacional 1975,Estudiantes (LP),13,3,8,47,24,35,22,13,https://logodetimes.com/times/estudiantes-de-la-plata/estudiantes-de-la-plata-256.png
1016,1975,Metropolitano 1975,Ferro,14,12,12,54,38,61,58,3,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Escudo_del_Club_Ferro_Carril_Oeste.svg/120px-Escudo_del_Club_Ferro_Carril_Oeste.svg.png
1017,1975,Nacional 1975,Ferro,4,9,3,15,16,21,26,-5,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Escudo_del_Club_Ferro_Carril_Oeste.svg/120px-Escudo_del_Club_Ferro_Carril_Oeste.svg.png
